Sipariş No	Tedarikçi Barkod	Sipariş Miktarı	Tedarikçi Ürün Kodu	Tedarikçi Malzeme Adı	Kalem No	Stok Kodu	Stok Adı	Birim
SAS-5581743944	2604011268	36	120508239	27 SOFT RULO BEYAZ 210x2,7	10	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011269	36	120508239	27 SOFT RULO BEYAZ 210x2,7	20	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011287	36	120508239	27 SOFT RULO BEYAZ 210x2,7	30	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011288	36	120508239	27 SOFT RULO BEYAZ 210x2,7	40	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011289	36	120508239	27 SOFT RULO BEYAZ 210x2,7	50	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011025	30	120508239	27 SOFT RULO BEYAZ 210x2,7	60	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011026	30	120508239	27 SOFT RULO BEYAZ 210x2,7	70	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011027	30	120508239	27 SOFT RULO BEYAZ 210x2,7	80	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011028	30	120508239	27 SOFT RULO BEYAZ 210x2,7	90	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011029	30	120508239	27 SOFT RULO BEYAZ 210x2,7	100	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011030	30	120508239	27 SOFT RULO BEYAZ 210x2,7	110	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011031	30	120508239	27 SOFT RULO BEYAZ 210x2,7	120	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011032	30	120508239	27 SOFT RULO BEYAZ 210x2,7	130	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011290	36	120508239	27 SOFT RULO BEYAZ 210x2,7	140	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011033	30	120508239	27 SOFT RULO BEYAZ 210x2,7	150	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011283	36	120508239	27 SOFT RULO BEYAZ 210x2,7	160	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011270	36	120508239	27 SOFT RULO BEYAZ 210x2,7	170	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011276	36	120508239	27 SOFT RULO BEYAZ 210x2,7	180	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011275	36	120508239	27 SOFT RULO BEYAZ 210x2,7	190	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011274	36	120508239	27 SOFT RULO BEYAZ 210x2,7	200	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011281	36	120508239	27 SOFT RULO BEYAZ 210x2,7	210	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011273	36	120508239	27 SOFT RULO BEYAZ 210x2,7	220	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011271	36	120508239	27 SOFT RULO BEYAZ 210x2,7	230	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011279	36	120508239	27 SOFT RULO BEYAZ 210x2,7	240	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011272	36	120508239	27 SOFT RULO BEYAZ 210x2,7	250	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011278	36	120508239	27 SOFT RULO BEYAZ 210x2,7	260	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
SAS-5581743944	2604011277	36	120508239	27 SOFT RULO BEYAZ 210x2,7	270	HASURL0170	SUNGER PU RULO 27 DNS BEYAZ 210X2,7 SOFT DUZ	METRE
